token,search_terms,clicks,spend,sales,orders,cvr,acos,cpc,token_type,already_negative,click_share,sales_share,relative_cvr,issue_zero_sales,issue_low_relevancy,issue_high_spend,score,recommendation,reason
antimicrobial,4,6,12.29,49.98,1,0.16666666666666666,0.2458983593437375,2.0483333333333333,single_word,False,0.0024927295388450354,0.0035778175313059034,0.7228228228228227,False,False,False,4.55,Monitor,traffic present but evidence is weaker
antibacterial,19,41,90.0,199.92,7,0.17073170731707318,0.45018007202881155,2.1951219512195124,single_word,False,0.01703365184877441,0.014311270125223614,0.740452647769721,False,False,False,4.52,Monitor,traffic present but evidence is weaker
antifungal,39,52,113.74,274.89,9,0.17307692307692307,0.413765506202481,2.187307692307692,single_word,False,0.02160365600332364,0.01967799642218247,0.7506237006237005,False,False,False,4.5,Monitor,traffic present but evidence is weaker
frenchie,8,11,24.380000000000003,49.98,2,0.18181818181818182,0.487795118047219,2.2163636363636368,single_word,False,0.004570004154549232,0.0035778175313059034,0.7885339885339885,False,False,False,4.42,Monitor,traffic present but evidence is weaker
shepherd,8,11,23.75,49.98,2,0.18181818181818182,0.4751900760304122,2.159090909090909,single_word,False,0.004570004154549232,0.0035778175313059034,0.7885339885339885,False,False,False,4.42,Monitor,traffic present but evidence is weaker
hair,20,21,45.94,99.96,4,0.19047619047619047,0.45958383353341337,2.1876190476190476,single_word,False,0.008724553385957623,0.007155635062611807,0.826083226083226,False,False,False,4.35,Monitor,traffic present but evidence is weaker
earthbath,2,5,12.14,24.99,1,0.2,0.48579431772709086,2.428,single_word,False,0.002077274615704196,0.0017889087656529517,0.8673873873873874,False,False,False,4.27,Monitor,traffic present but evidence is weaker
small,4,5,11.4,24.99,1,0.2,0.45618247298919573,2.2800000000000002,single_word,False,0.002077274615704196,0.0017889087656529517,0.8673873873873874,False,False,False,4.27,Monitor,traffic present but evidence is weaker
professional,5,5,11.39,24.99,1,0.2,0.45578231292517013,2.278,single_word,False,0.002077274615704196,0.0017889087656529517,0.8673873873873874,False,False,False,4.27,Monitor,traffic present but evidence is weaker
non,5,5,10.1,24.99,1,0.2,0.40416166466586634,2.02,single_word,False,0.002077274615704196,0.0017889087656529517,0.8673873873873874,False,False,False,4.27,Monitor,traffic present but evidence is weaker
perros,23,29,66.28,149.94,6,0.20689655172413793,0.4420434840602908,2.2855172413793103,single_word,False,0.012048192771084338,0.01073345259391771,0.8972972972972972,False,False,False,4.21,Monitor,traffic present but evidence is weaker
german,6,9,19.74,49.98,2,0.2222222222222222,0.3949579831932773,2.1933333333333334,single_word,False,0.003739094308267553,0.0035778175313059034,0.9637637637637637,False,False,False,4.07,Monitor,traffic present but evidence is weaker
extreme,4,9,19.42,49.98,2,0.2222222222222222,0.3885554221688676,2.157777777777778,single_word,False,0.003739094308267553,0.0035778175313059034,0.9637637637637637,False,False,False,4.07,Monitor,traffic present but evidence is weaker
dogs,262,342,725.0600000000001,1924.2299999999998,77,0.22514619883040934,0.3768052675615702,2.120058479532164,single_word,False,0.14208558371416702,0.13774597495527727,0.9764448659185501,False,False,False,4.05,Monitor,traffic present but evidence is weaker
smelly,19,22,48.64,124.94999999999999,5,0.22727272727272727,0.3892757102841137,2.210909090909091,single_word,False,0.009140008309098464,0.008944543828264758,0.9856674856674856,False,False,False,4.03,Monitor,traffic present but evidence is weaker
shampoos,16,22,46.89,124.94999999999999,5,0.22727272727272727,0.3752701080432173,2.1313636363636363,single_word,False,0.009140008309098464,0.008944543828264758,0.9856674856674856,False,False,False,4.03,Monitor,traffic present but evidence is weaker
shampoo,1081,2337,5074.96,13569.57,539,0.23063756953359008,0.37399563877116226,2.1715703893881044,single_word,False,0.9709181553801413,0.9713774597495528,1.000260594355588,False,False,False,4.0,Monitor,traffic present but evidence is weaker
dog,770,1925,4177.46,11170.529999999999,443,0.23012987012987013,0.37397151254237715,2.170109090909091,single_word,False,0.7997507270461155,0.7996422182468693,0.998058734058734,False,False,False,4.0,Monitor,traffic present but evidence is weaker
skin,118,345,758.05,2174.13,88,0.25507246376811593,0.3486682029133492,2.197246376811594,single_word,False,0.14333194848358954,0.15563506261180682,1.1062331897114506,False,False,False,4.0,Monitor,traffic present but evidence is weaker
medicated,79,303,641.73,1824.27,71,0.23432343234323433,0.3517735861467875,2.117920792079208,single_word,False,0.12588284171167427,0.13059033989266547,1.0162459489192162,False,False,False,4.0,Monitor,traffic present but evidence is weaker
itchy,40,221,474.38000000000005,1374.45,56,0.25339366515837103,0.34514169304085274,2.1465158371040727,single_word,False,0.09181553801412547,0.09838998211091235,1.0989523460111694,False,False,False,4.0,Monitor,traffic present but evidence is weaker
relief,28,200,426.75,1199.52,49,0.245,0.3557673069227691,2.13375,single_word,False,0.08309098462816784,0.08586762075134168,1.0625495495495494,False,False,False,4.0,Monitor,traffic present but evidence is weaker
anti,56,109,240.83,649.74,26,0.23853211009174313,0.37065595468956813,2.2094495412844037,single_word,False,0.04528458662235148,0.046511627906976744,1.0344987189023886,False,False,False,4.0,Monitor,traffic present but evidence is weaker
dry,58,90,200.42,599.76,24,0.26666666666666666,0.3341670001333867,2.226888888888889,single_word,False,0.03739094308267553,0.04293381037567084,1.1565165165165165,False,False,False,4.0,Monitor,traffic present but evidence is weaker
itching,32,90,169.57999999999998,674.73,27,0.3,0.25133016169430733,1.884222222222222,single_word,False,0.03739094308267553,0.0483005366726297,1.301081081081081,False,False,False,4.0,Monitor,traffic present but evidence is weaker
yeast,59,88,203.18,524.79,21,0.23863636363636365,0.38716438956535,2.3088636363636366,single_word,False,0.036560033236393855,0.03756708407871198,1.03495085995086,False,False,False,4.0,Monitor,traffic present but evidence is weaker
allergy,45,88,197.04,774.6899999999999,32,0.36363636363636365,0.2543469000503427,2.239090909090909,single_word,False,0.036560033236393855,0.0554561717352415,1.577067977067977,False,False,False,4.0,Monitor,traffic present but evidence is weaker
allergies,32,82,150.32999999999998,599.76,24,0.2926829268292683,0.25065026010404157,1.833292682926829,single_word,False,0.03406730369754882,0.04293381037567084,1.2693473961766644,False,False,False,4.0,Monitor,traffic present but evidence is weaker
itch,32,57,130.39000000000001,449.82,18,0.3157894736842105,0.28987150415721846,2.287543859649123,single_word,False,0.023680930619027835,0.03220035778175313,1.3695590327169274,False,False,False,4.0,Monitor,traffic present but evidence is weaker
fungal,24,50,110.85,299.88,13,0.26,0.36964785914365744,2.217,single_word,False,0.02077274615704196,0.02146690518783542,1.1276036036036037,False,False,False,4.0,Monitor,traffic present but evidence is weaker
wash,25,25,53.370000000000005,174.92999999999998,7,0.28,0.3050934659578118,2.1348000000000003,single_word,False,0.01038637307852098,0.01252236135957066,1.2143423423423425,False,False,False,4.0,Monitor,traffic present but evidence is weaker
conditions,1,22,51.55,174.93,7,0.3181818181818182,0.2946893042931458,2.3431818181818183,single_word,False,0.009140008309098464,0.012522361359570662,1.37993447993448,False,False,False,4.0,Monitor,traffic present but evidence is weaker
bulldog,16,21,49.65,249.89999999999998,10,0.47619047619047616,0.1986794717887155,2.3642857142857143,single_word,False,0.008724553385957623,0.017889087656529516,2.065208065208065,False,False,False,4.0,Monitor,traffic present but evidence is weaker
hot,15,19,42.41,149.94,6,0.3157894736842105,0.28284647192210216,2.2321052631578944,single_word,False,0.007893643539675945,0.01073345259391771,1.3695590327169274,False,False,False,4.0,Monitor,traffic present but evidence is weaker
severe,13,15,32.26,174.92999999999998,7,0.4666666666666667,0.1844166237923741,2.1506666666666665,single_word,False,0.0062318238471125885,0.01252236135957066,2.023903903903904,False,False,False,4.0,Monitor,traffic present but evidence is weaker
baking,4,14,32.050000000000004,124.94999999999999,5,0.35714285714285715,0.2565026010404162,2.2892857142857146,single_word,False,0.005816368923971749,0.008944543828264758,1.5489060489060489,False,False,False,4.0,Monitor,traffic present but evidence is weaker
soda,4,14,32.050000000000004,124.94999999999999,5,0.35714285714285715,0.2565026010404162,2.2892857142857146,single_word,False,0.005816368923971749,0.008944543828264758,1.5489060489060489,False,False,False,4.0,Monitor,traffic present but evidence is weaker
moisturizing,8,14,30.55,124.94999999999999,5,0.35714285714285715,0.2444977991196479,2.1821428571428574,single_word,False,0.005816368923971749,0.008944543828264758,1.5489060489060489,False,False,False,4.0,Monitor,traffic present but evidence is weaker
english,9,12,26.97,124.94999999999999,5,0.4166666666666667,0.21584633853541418,2.2475,single_word,False,0.004985459077690071,0.008944543828264758,1.807057057057057,False,False,False,4.0,Monitor,traffic present but evidence is weaker
soothing,7,12,26.81,99.96,4,0.3333333333333333,0.26820728291316526,2.2341666666666664,single_word,False,0.004985459077690071,0.007155635062611807,1.4456456456456455,False,False,False,4.0,Monitor,traffic present but evidence is weaker
spot,8,12,26.41,124.94999999999999,5,0.4166666666666667,0.21136454581832737,2.200833333333333,single_word,False,0.004985459077690071,0.008944543828264758,1.807057057057057,False,False,False,4.0,Monitor,traffic present but evidence is weaker
french,8,11,26.08,149.94,6,0.5454545454545454,0.17393624116313192,2.3709090909090906,single_word,False,0.004570004154549232,0.01073345259391771,2.3656019656019653,False,False,False,4.0,Monitor,traffic present but evidence is weaker
medical,7,9,20.16,74.97,3,0.3333333333333333,0.2689075630252101,2.24,single_word,False,0.003739094308267553,0.005366726296958855,1.4456456456456455,False,False,False,4.0,Monitor,traffic present but evidence is weaker
bath,8,9,19.05,99.96,4,0.4444444444444444,0.1905762304921969,2.1166666666666667,single_word,False,0.003739094308267553,0.007155635062611807,1.9275275275275274,False,False,False,4.0,Monitor,traffic present but evidence is weaker
hydrocortisone,7,9,18.52,74.97,3,0.3333333333333333,0.24703214619181005,2.057777777777778,single_word,False,0.003739094308267553,0.005366726296958855,1.4456456456456455,False,False,False,4.0,Monitor,traffic present but evidence is weaker
spray,8,8,18.55,74.97,3,0.375,0.24743230625583568,2.31875,single_word,False,0.0033236393851267137,0.005366726296958855,1.6263513513513512,False,False,False,4.0,Monitor,traffic present but evidence is weaker
chi,3,8,16.93,74.97,3,0.375,0.2258236627984527,2.11625,single_word,False,0.0033236393851267137,0.005366726296958855,1.6263513513513512,False,False,False,4.0,Monitor,traffic present but evidence is weaker
vet,8,8,16.79,49.98,2,0.25,0.3359343737494998,2.09875,single_word,False,0.0033236393851267137,0.0035778175313059034,1.0842342342342342,False,False,False,4.0,Monitor,traffic present but evidence is weaker
seasonal,6,7,16.22,49.98,2,0.2857142857142857,0.32452981192476993,2.317142857142857,single_word,False,0.0029081844619858743,0.0035778175313059034,1.239124839124839,False,False,False,4.0,Monitor,traffic present but evidence is weaker
